Country,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Confirmedlastweek,WHO Region
Afghanistan,36263,1269,25198,9796,106,10,18,35526,Eastern Mediterranean
Albania,4880,144,2745,1991,117,6,63,4171,Europe
Algeria,27973,1163,18837,7973,616,8,749,23691,Africa
Andorra,907,52,803,52,10,0,0,884,Europe
Angola,950,41,242,667,18,1,0,749,Africa
Antigua and Barbuda,86,3,65,18,4,0,5,76,Americas
Argentina,167416,3059,72575,91782,4890,120,2057,130774,Americas
Armenia,37390,711,26665,10014,73,6,187,34981,Europe
Australia,15303,167,9311,5825,368,6,137,12428,Western Pacific
Austria,20558,713,18246,1599,86,1,37,19743,Europe
Azerbaijan,30446,423,23242,6781,396,6,558,27890,Europe
Bahamas,382,11,91,280,40,0,0,174,Americas
Bahrain,39482,141,36110,3231,351,1,421,36936,Eastern Mediterranean
Bangladesh,226225,2965,125683,97577,2772,37,1801,207453,South-East Asia
Barbados,110,7,94,9,0,0,0,106,Americas
Belarus,67251,538,60492,6221,119,4,67,66213,Europe
Belgium,66428,9822,17452,39154,402,1,14,64094,Europe
Belize,48,2,26,20,0,0,0,40,Americas
Benin,1770,35,1036,699,0,0,0,1602,Africa
Bhutan,99,0,86,13,4,0,1,90,South-East Asia
Bolivia,71181,2647,21478,47056,1752,64,309,60991,Americas
Bosnia and Herzegovina,10498,294,4930,5274,731,14,375,8479,Europe
Botswana,739,2,63,674,53,1,11,522,Africa
Brazil,2442375,87618,1846641,508116,23284,614,33728,2118646,Americas
Brunei,141,3,138,0,0,0,0,141,Western Pacific
Bulgaria,10621,347,5585,4689,194,7,230,8929,Europe
Burkina Faso,1100,53,926,121,14,0,6,1065,Africa
Burma,350,6,292,52,0,0,2,341,South-East Asia
Burundi,378,1,301,76,17,0,22,322,Africa
Cabo Verde,2328,22,1550,756,21,0,103,2071,Africa
Cambodia,226,0,147,79,1,0,4,171,Western Pacific
Cameroon,17110,391,14539,2180,402,6,0,16157,Africa
Canada,116458,8944,0,107514,682,11,0,112925,Americas
Central African Republic,4599,59,1546,2994,0,0,0,4548,Africa
Chad,922,75,810,37,7,0,0,889,Africa
Chile,347923,9187,319954,18782,2133,75,1859,333029,Americas
China,86783,4656,78869,3258,213,4,7,85622,Western Pacific
Colombia,257101,8777,131161,117163,16306,508,11494,204005,Americas
Comoros,354,7,328,19,0,0,0,334,Africa
Congo (Brazzaville),3200,54,829,2317,162,3,73,2851,Africa
Congo (Kinshasa),8844,208,5700,2936,13,4,190,8443,Africa
Costa Rica,15841,115,3824,11902,612,11,88,11534,Americas
Cote d'Ivoire,15655,96,10361,5198,59,0,183,14312,Africa
Croatia,4881,139,3936,806,24,3,70,4370,Europe
Cuba,2532,87,2351,94,37,0,2,2446,Americas
Cyprus,1060,19,852,189,3,0,0,1038,Europe
Czechia,15516,373,11428,3715,192,2,0,14098,Europe
Denmark,13761,613,12605,543,109,0,77,13453,Europe
Djibouti,5059,58,4977,24,9,0,11,5020,Eastern Mediterranean
Dominica,18,0,18,0,0,0,0,18,Americas
